"Fly_Sex","r","p_val","n","label"
"Female",0.452380952380952,0.260404767436885,8,"Female: ρ = 0.45, p = 0.260"
"Male",0.6,0.0876228290414023,9,"Male: ρ = 0.60, p = 0.088"
