"Fly_Sex","n_A_flies","n_diverged_1sd","pct_diverged","mean_z","max_cum_div"
"Female",8,19,86.4,-1.23901466788574,8.92592412159871
"Male",9,13,86.7,-1.36074774234951,4.7790543117778
