"Treatment","slope","intercept","r2","label"
"naive",-1.06113747872777,2.93369542717368,0.823329028178319,"α = -1.06
R² = 0.82"
"injured",-1.06509292917863,2.85471336302738,0.8156571442041,"α = -1.07
R² = 0.82"
"immune stimulated",-1.12663713673664,2.92720881971776,0.794989330684366,"α = -1.13
R² = 0.79"
"infected (acute)",-0.913314868548257,2.04352531516278,0.81921130884754,"α = -0.91
R² = 0.82"
"infected (chronic)",-1.12548529538634,2.89999123419127,0.852432517366668,"α = -1.13
R² = 0.85"
